coral_id,row,column,camera,length_pg,width_pg,height_pg,volume_pg,surface_area,max_hull_volume,min_hull_volume,max_hull_surface_area,interstitial_volume,scalebar_error_x,scalebar_error_y,scalebar_error_z,total_photos,photos_not_aligned,notes
FE-POC39,4,12,Canon PowerShot G16,0.240571,0.222015,0.141251,0.002795,0.282519,,,,,-0.000242,0.000274,-0.000035,175,0,
FE-POC43,1,4,Canon PowerShot G16,0.184856,0.145225,0.112751,0.000476,0.08889,,,,,0.000019,-0.000125,0.000106,181,0,
FE-POC23,1,5,Canon PowerShot G16,0.172489,0.141289,0.104208,0.000778,0.123913,,,,,0.000323,-0.000471,0.000142,215,0,
FE-POC37,1,8,TG-4,0.457853,0.333679,0.265053,0.008021,1.063,,,,,-0.000632,0.000495,0.000126,205,0,
FE-POC28,1,11,Canon PowerShot G16,0.073,0.051892,0.04011,0.000062,0.014242,,,,,0.000101,-0.000158,0.000056,140,0,
FE-POC56,1,14,Canon PowerShot G16,0.156797,0.130389,0.076811,0.000588,0.097082,,,,,-0.000162,0.000454,-0.000297,176,0,
FE-POC05,2,1,Canon PowerShot G16,0.102722,0.078435,0.051504,0.000145,0.024588,,,,,0.000137,-0.000138,NA,189,0,"only 2 scale bars used, rubiks cube not aligned"
FE-POC52,2,4,Canon PowerShot G16,0.124228,0.107943,0.059818,0.000239,0.051858,,,,,0.000019,0.000348,-0.000372,205,0,
FE-POC54,2,6,Canon PowerShot G16,0.250854,0.234083,0.142008,0.003081,0.312368,,,,,0.000073,-0.000073,NA,165,0,only 2 scale bars used
FE-POC17,2,11,Canon PowerShot G16,0.434681,0.288296,0.22106,0.01131,0.930291,,,,,0.000389,-0.000394,NA,200,1,"only 2 scale bars used, rubiks cube not aligned"
FE-POC51,2,15,TG-4,0.093515,0.081172,0.0432,0.000135,0.028163,,,,,-0.000067,0.000067,NA,153,3,"only 2 scale bars used, rubiks cube not aligned"
FE-POC21,3,2,Canon PowerShot G16,0.159859,0.077509,0.098908,0.000283,0.064425,,,,,-0.000214,0.000212,NA,195,0,only 2 scale bars used
FE-POC15,3,5,Canon PowerShot G16,0.220349,0.208893,0.177457,0.00243,0.298874,,,,,-0.000307,-0.000144,0.000446,235,0,
FE-POC08,3,6,TG-4,0.324589,0.282475,0.124201,0.006104,0.461015,,,,,0.000804,-0.000356,-0.000466,263,0,
FE-POC55,3,8,TG-4,0.272313,0.250821,0.159023,0.003631,0.417745,,,,,-0.000068,0.000068,NA,153,0,"only 2 scale bars used, rubiks cube not aligned"
FE-POC58,3,10,TG-4,0.475697,0.320994,0.209929,0.010745,0.792476,,,,,0.000022,-0.000022,NA,136,1,"only 2 scale bars used, rubiks cube not aligned"
FE-POC44,3,15,TG-4,0.076789,0.055217,0.048618,0.000049,0.01717,,,,,0.000343,-0.000347,NA,130,0,"only 2 scale bars used, rubiks cube not aligned, 23 photos removed that were taken with diff settings"
FE-POC36,4,13,TG-4,0.140078,0.110144,0.059133,0.000444,0.077961,,,,,-0.000138,0.000137,NA,116,0,"only 2 scale bars used, rubiks cube not aligned"
FE-POC19,4,15,TG-4,0.317256,0.287058,0.18749,0.008127,0.61876,,,,,-0.000412,0.000189,0.000218,152,1,
FE-POC06,4,4,Canon PowerShot G16,0.368057,0.247779,0.149944,0.006563,0.457554,,,,,-0.000264,0.000335,-0.000074,203,1,
